birth_band,universe_year,universe,age_min,age_max,n_women,n_women_weighted,mean_children,mean_children_weighted,var_children,share_0,share_12plus,gq_household_share
1890-1899,1960,all_women,60,70,63867,6362464,2.830851613509287,2.830828433764026,6.721912911108656,0.1829426777522038,0.01099159190192118,0.9839040506051638
1890-1899,1960,ever_married,60,70,63867,6362464,2.830851613509287,2.830828433764026,6.721912911108656,0.1829426777522038,0.01099159190192118,0.9839040506051638
1890-1899,1970,all_women,70,80,53276,5327600,2.612076732487462,2.612076732487424,6.475678833042456,0.23231849237930777,0.008653052030933254,0.9504467302350026
1890-1899,1970,ever_married,70,80,49071,4907100,2.819058099488564,2.819058099488496,6.413214119937953,0.17260703878054248,0.009313036212834464,0.9578366041042571
1890-1899,1980,all_women,80,90,146934,2938680,2.510617011719448,2.5106170117195474,6.029734215337244,0.2343977568159854,0.007867477915254467,0.820790286795432
1890-1899,1980,ever_married,80,90,136043,2720860,2.704225869761669,2.7042258697617667,5.978540748791432,0.17623839521327817,0.008475261498202774,0.8310460663172673
1900-1909,1960,all_women,50,60,86189,8585827,2.43649421619934,2.4365266153161484,5.542925361912232,0.20617480188887213,0.007820023436865494,0.9896390490665862
1900-1909,1960,ever_married,50,60,86189,8585827,2.43649421619934,2.4365266153161484,5.542925361912232,0.20617480188887213,0.007820023436865494,0.9896390490665862
1900-1909,1970,all_women,60,70,84607,8460700,2.275733686338108,2.2757336863380098,5.371609682897663,0.2501684257803728,0.0070561537461439365,0.9820345834269032
1900-1909,1970,ever_married,60,70,78377,7837700,2.437743215484075,2.4377432154841343,5.35662024114579,0.19714967401150849,0.007540477435982495,0.9878408206489149
1900-1909,1980,all_women,70,80,341406,6828120,2.2630592315307205,2.2630592315307876,5.242291853994495,0.2481913030233798,0.006637258864811983,0.9533956638137584
1900-1909,1980,ever_married,70,80,318333,6366660,2.4187753076178677,2.418775307618123,5.2310891262619545,0.19729025894267951,0.007099483873805103,0.9602083352966861
1900-1909,1990,all_women,81,90,208609,4089052,2.32408477103082,2.2505282397973905,5.2385939220200255,0.23177811120325587,0.00665838961885633,0.836056929470924
1900-1909,1990,ever_married,81,90,195390,3813105,2.470336250575668,2.4013605709782446,5.208274615810595,0.1840677619120733,0.007067915451148984,0.8435027381135165
1910-1919,1970,all_women,50,60,108973,10897300,2.3653290264559517,2.3653290264560947,4.667941178722234,0.20492232020775789,0.0055977168656456185,0.9886026813981444
1910-1919,1970,ever_married,50,60,102159,10215900,2.5062892158301846,2.5062892158302255,4.589104222664282,0.15815542438747443,0.0059417183018627825,0.9941268023375327
1910-1919,1980,all_women,60,70,512689,10253780,2.3831055474174114,2.3831055474176353,4.659673538312436,0.20149057225725536,0.005551123585643539,0.9860539235286889
1910-1919,1980,ever_married,60,70,484295,9685900,2.511438276257339,2.51143827625724,4.590526390316664,0.15948750245201787,0.005847675487048183,0.9908382287655252
1910-1919,1990,all_women,71,80,418777,7931532,2.441175136170706,2.384990566765664,4.759086310792052,0.19082709890944344,0.006058116849779238,0.9658887665750506
1910-1919,1990,ever_married,71,80,397632,7505852,2.5585943787217307,2.507115647897134,4.684214283008156,0.15251036133912763,0.0063400329953323675,0.9705305408015451
1920-1929,1980,all_women,50,60,613372,12267440,2.843219123142212,2.843219123142237,4.78278589463078,0.13654682639572724,0.005831697566892522,0.9928819704844695
1920-1929,1980,ever_married,50,60,584835,11696700,2.9636957432439837,2.963695743243821,4.619671886416162,0.1007241358673814,0.006029050928894475,0.9962861319859447
1920-1929,1990,all_women,61,70,584736,11122205,2.8922128960761126,2.8485416336059264,4.89098053340896,0.1313190910085919,0.006536283040551634,0.9904247386854923
1920-1929,1990,ever_married,61,70,560063,10619544,3.000965962757857,2.9627987793072847,4.735262305621973,0.09910670763824785,0.006727814549434617,0.9932793275042272
1930-1939,1990,all_women,51,60,582654,11230867,3.081978326760104,3.037079862133529,4.315074847674877,0.10293759246482476,0.003959468226425975,0.9951720918418135
1930-1939,1990,ever_married,51,60,558129,10720663,3.1861881393009375,3.14721095141224,4.104009988974573,0.07322679882249444,0.004004450584004773,0.9972658650598697
