Year,cohort,n_child,n_women
1950,1890-1900,0,11905
1950,1890-1900,1,11072
1950,1890-1900,2,12821
1950,1890-1900,3,9387
1950,1890-1900,4,6350
1950,1890-1900,5,4184
1950,1890-1900,6,2822
1950,1890-1900,7,1965
1950,1890-1900,8,1394
1950,1890-1900,9,966
1950,1890-1900,10,773
1950,1890-1900,11,420
1950,1890-1900,12,701
1960,1900-1910,0,17802
1960,1900-1910,1,16922
1960,1900-1910,2,19281
1960,1900-1910,3,12120
1960,1900-1910,4,7314
1960,1900-1910,5,4252
1960,1900-1910,6,2741
1960,1900-1910,7,1823
1960,1900-1910,8,1358
1960,1900-1910,9,874
1960,1900-1910,10,688
1960,1900-1910,11,391
1960,1900-1910,12,667
1970,1910-1920,0,22274
1970,1910-1920,1,18714
1970,1910-1920,2,26331
1970,1910-1920,3,17875
1970,1910-1920,4,10182
1970,1910-1920,5,5537
1970,1910-1920,6,3180
1970,1910-1920,7,1918
1970,1910-1920,8,1275
1970,1910-1920,9,896
1970,1910-1920,10,548
1970,1910-1920,11,337
1970,1910-1920,12,611
1980,1920-1930,0,83049
1980,1920-1930,1,76057
1980,1920-1930,2,143576
1980,1920-1930,3,122863
1980,1920-1930,4,79592
1980,1920-1930,5,44037
1980,1920-1930,6,25422
1980,1920-1930,7,14318
1980,1920-1930,8,9045
1980,1920-1930,9,5736
1980,1920-1930,10,3676
1980,1920-1930,11,2154
1980,1920-1930,12,3561
1990,1931-1940,0,60288
1990,1931-1940,1,54898
1990,1931-1940,2,134386
1990,1931-1940,3,134429
1990,1931-1940,4,91277
1990,1931-1940,5,50851
1990,1931-1940,6,27099
1990,1931-1940,7,14489
1990,1931-1940,8,8333
1990,1931-1940,9,4804
1990,1931-1940,10,2837
1990,1931-1940,11,1430
1990,1931-1940,12,2038
