Year,cohort,children,probability
1950,1890-1900,0,0.18383261272390364
1950,1890-1900,1,0.17096973440395305
1950,1890-1900,2,0.19797714638665842
1950,1890-1900,3,0.14495058678196418
1950,1890-1900,4,0.0980543545398394
1950,1890-1900,5,0.06460778258184065
1950,1890-1900,6,0.0435762816553428
1950,1890-1900,7,0.030342804200123533
1950,1890-1900,8,0.021525633106856085
1950,1890-1900,9,0.014916615194564546
1950,1890-1900,10,0.011936380481778875
1950,1890-1900,11,0.006485484867201977
1950,1890-1900,12,0.010824583075972822
1960,1900-1910,0,0.20644068975914093
1960,1900-1910,1,0.19623577980587478
1960,1900-1910,2,0.22359189637377802
1960,1900-1910,3,0.1405494416290747
1960,1900-1910,4,0.08481671749794162
1960,1900-1910,5,0.04930826945600872
1960,1900-1910,6,0.03178597520670741
1960,1900-1910,7,0.021140398687277493
1960,1900-1910,8,0.015748031496062992
1960,1900-1910,9,0.010135331021766609
1960,1900-1910,10,0.00797838414528081
1960,1900-1910,11,0.004534227036053483
1960,1900-1910,12,0.007734857885032412
1970,1910-1920,0,0.2030853954302595
1970,1910-1920,1,0.17062674374076844
1970,1910-1920,2,0.24007549371797443
1970,1910-1920,3,0.162977078356644
1970,1910-1920,4,0.09283539087146009
1970,1910-1920,5,0.05048414449570561
1970,1910-1920,6,0.02899396414960156
1970,1910-1920,7,0.017487554477652767
1970,1910-1920,8,0.011624938456208173
1970,1910-1920,9,0.00816936851510786
1970,1910-1920,10,0.004996444136472219
1970,1910-1920,11,0.003072630791954631
1970,1910-1920,12,0.00557085286019074
1980,1920-1930,0,0.13546060422191994
1980,1920-1930,1,0.12405600519339864
1980,1920-1930,2,0.2341857422939033
1980,1920-1930,3,0.20040092254593972
1980,1920-1930,4,0.12982191731665704
1980,1920-1930,5,0.0718284221137002
1980,1920-1930,6,0.041465634511308365
1980,1920-1930,7,0.02335398296486953
1980,1920-1930,8,0.014753232009864848
1980,1920-1930,9,0.009355946800285767
1980,1920-1930,10,0.0059958961711733755
1980,1920-1930,11,0.003513373327722375
1980,1920-1930,12,0.005808320529256907
1990,1931-1940,0,0.1026774689649652
1990,1931-1940,1,0.09349767269172404
1990,1931-1940,2,0.22887497253725142
1990,1931-1940,3,0.22894820653349435
1990,1931-1940,4,0.15545533662943087
1990,1931-1940,5,0.08660516146393056
1990,1931-1940,6,0.04615274567876844
1990,1931-1940,7,0.024676450501482563
1990,1931-1940,8,0.01419206722540232
1990,1931-1940,9,0.008181770184907325
1990,1931-1940,10,0.004831740635841399
1990,1931-1940,11,0.002435456154125203
1990,1931-1940,12,0.003470950798676338
