Year,cohort,children,probability_weighted
1950,1890-1900,0,0.1838298617677239
1950,1890-1900,1,0.17098021223102988
1950,1890-1900,2,0.19797115691641892
1950,1890-1900,3,0.1449492052961655
1950,1890-1900,4,0.09806167906179376
1950,1890-1900,5,0.06459917600047121
1950,1890-1900,6,0.04357757778859359
1950,1890-1900,7,0.03034041906793191
1950,1890-1900,8,0.021530785279611126
1950,1890-1900,9,0.014916158512956757
1950,1890-1900,10,0.011935902880898278
1950,1890-1900,11,0.006483648662473301
1950,1890-1900,12,0.010824216533931855
1960,1900-1910,0,0.206442967645817
1960,1900-1910,1,0.1962255141118318
1960,1900-1910,2,0.2235932026286224
1960,1900-1910,3,0.14055104402072918
1960,1900-1910,4,0.08481580703040428
1960,1900-1910,5,0.049309312015094406
1960,1900-1910,6,0.03178469705547122
1960,1900-1910,7,0.021141758815245694
1960,1900-1910,8,0.015748987538478428
1960,1900-1910,9,0.010136663825057452
1960,1900-1910,10,0.007979322490981877
1960,1900-1910,11,0.004536330515122867
1960,1900-1910,12,0.0077343923071433816
1970,1910-1920,0,0.2030853954302595
1970,1910-1920,1,0.17062674374076844
1970,1910-1920,2,0.24007549371797443
1970,1910-1920,3,0.162977078356644
1970,1910-1920,4,0.09283539087146009
1970,1910-1920,5,0.05048414449570561
1970,1910-1920,6,0.02899396414960156
1970,1910-1920,7,0.017487554477652767
1970,1910-1920,8,0.011624938456208173
1970,1910-1920,9,0.00816936851510786
1970,1910-1920,10,0.004996444136472219
1970,1910-1920,11,0.003072630791954631
1970,1910-1920,12,0.00557085286019074
1980,1920-1930,0,0.13546060422191994
1980,1920-1930,1,0.12405600519339864
1980,1920-1930,2,0.2341857422939033
1980,1920-1930,3,0.20040092254593972
1980,1920-1930,4,0.12982191731665704
1980,1920-1930,5,0.0718284221137002
1980,1920-1930,6,0.041465634511308365
1980,1920-1930,7,0.02335398296486953
1980,1920-1930,8,0.014753232009864848
1980,1920-1930,9,0.009355946800285767
1980,1920-1930,10,0.0059958961711733755
1980,1920-1930,11,0.003513373327722375
1980,1920-1930,12,0.005808320529256907
1990,1931-1940,0,0.10715640982283155
1990,1931-1940,1,0.09630109984383516
1990,1931-1940,2,0.23039117089835764
1990,1931-1940,3,0.22825278371920923
1990,1931-1940,4,0.15295247160957184
1990,1931-1940,5,0.08466448147961991
1990,1931-1940,6,0.04477083659942127
1990,1931-1940,7,0.023852880229632133
1990,1931-1940,8,0.013601860704052513
1990,1931-1940,9,0.007938079109850674
1990,1931-1940,10,0.004562679003992014
1990,1931-1940,11,0.0023472700991714135
1990,1931-1940,12,0.0032079768804546237
