"Year","Model","mu","size","pi0"
1950,"Poisson",2.8179431748063,Inf,0
1950,"ZINB",2.94340860578445,2.37223404665676,0.0426260659599535
1960,"Poisson",2.42925562141375,Inf,0
1960,"ZINB",2.45827935852916,2.08832542772126,0.0118060980392626
1970,"Poisson",2.37698535714153,Inf,0
1970,"ZINB",2.54690793199859,3.57767464663262,0.0667169862329282
1980,"Poisson",2.85486701700234,Inf,0
1980,"ZINB",3.03617184799754,6.94735101910748,0.0597167072639717
1990,"Poisson",3.04652232187236,Inf,0
1990,"ZINB",3.22382797275368,19.7918013508239,0.0549985176575381
